GalaxyID,Class2.1,Class3.1,Class3.2,Class4.1,Class7.1,Class7.2,Class7.3
100008,0,0.038452149,0.578400851,0.418397819,0.201462524,0.181684476,0
100023,0.031178269,0.467369636,0.165229095,0.591327989,0,0.135081824,0.191919176
100053,0,0,0.177352,0,0,0.74186415,0.02385285
100078,0,0.109493481,0.129070519,0.189098232,0.408599439,0.284777561,0
100090,0,0,0,0,0.494587282,0.439251718,0
100122,0,0,0.238159,0,0.066806667,0.663691308,0.008334764
100123,0,0,0.456033,0,0.388157511,0.074334489,0
100128,0,0.069098179,0.219245821,0,0.482482526,0.205300474,0
100134,0.021750859,0.313076726,0.642124415,0.546490632,0.010917,0.010917,0
100143,0.730157,0,0,0,0,0,0.269843
100150,0,0,0.524901,0,0.091016543,0.338361457,0
100157,0,0.060014946,0.609130054,0.323994656,0.256827796,0.073634204,0
100187,0,0.395389487,0.156089513,0.249897746,0.39001906,0.039151398,0.019350542
100204,0,0,0.53148,0.036043379,0,0.25405926,0.21356574
100237,0.030794789,0.149036583,0.620927629,0.387741657,0,0.164391,0
100259,0,0.073501054,0.587901946,0.299843082,0.223842752,0.114754248,0
100263,0.573791167,0.047325638,0.197413195,0.016622906,0,0.075166874,0.104487126
100288,0,0,0.308559,0,0.102572978,0.543007022,0
100295,0,0.078696258,0.112624742,0,0,0.647901177,0.094719823
100322,0.816805818,0,0.091207182,0,0,0,0.091987
100335,0.235324981,0.148673933,0.450999086,0.378225766,0,0.1237515,0.0412505
100367,0.028661915,0.21702061,0.267025475,0.265796482,0.026337795,0.445091205,0
100380,0.04365,0.463175,0.463175,0.92635,0,0.02721,0.00279
100382,0,0.077986136,0.664823864,0.412903566,0.03246723,0.22439377,0
100383,0.036131213,0.377656468,0.267933319,0.443602174,0.18290981,0.122390191,0
100402,0,0,0.39,0,0.1464,0.4636,0
100428,0,0,0.259587,0,0.562276665,0.153014335,0
100434,0,0,0.214,0,0.561,0.187,0
100444,0,0,0.138192,0,0.162967218,0.534785628,0.093350154
100445,0,0,0.796066,0.355462575,0,0.186593,0
100458,0,0,0.081499,0,0.355111666,0.465796334,0
100474,0.551481555,0,0.194117445,0,4.02E-04,0.007840521,0.193173856
100479,0,0,0.158446,0.08739311,0.352775229,0.488778771,0
100506,0.294705872,0,0.354403128,0.126064737,0,0.191636581,0.147735419
100513,0.583913841,0,0.117063159,0,0.008330737,0.108518972,0.159121291
100520,0.579787568,0.103912458,0.273869974,0.148593164,0.005959803,0.004239563,0.032230634
100541,0.089053752,0,0.444202248,0,0,0.38496998,0.06008202
100561,0.112969615,0,0.588879385,0.160232314,0.11201607,0.17628093,0
100571,0,0,0.15889,0,0.642762711,0.070288289,0
100601,0,0,0.311222,0,0.170307359,0.446719926,0.049751715
100623,0.311075021,0,0.258599979,0,0,0.052484328,0.344976672
100672,0,0,0.036703,0,0.708274052,0.223450948,0
100673,0.029609774,0.214530971,0.711013255,0.901288488,0,0.0336345,0.0112115
100724,0,0,0.137638,0,0.421923544,0.440438456,0
100727,0,0,0.156441,0.135760751,0.766569024,0.049601976,0
100730,0,0,0.322783,0.12311105,0.076210971,0.461664029,0
100740,0.237647748,0,0.116559252,0,0.021742553,0.021742553,0.595362894
100744,0,0,0.238819,0,0.64226651,0.04601949,0
100765,0,0.108152015,0.820063985,0.928216,0.031908197,0.037912803,0
100774,0,0,0.418373,0,0.111881265,0.378821735,0
100801,0,0.251869643,0.713133357,0.875162186,0.0069994,0.0279976,0
100813,0,0.455086553,0.527902447,0.952819102,0.014522444,0.002488556,0
100821,0,0.090738166,0.835189834,0.750736867,0.023096,0.034644,0
100822,0.058344508,0,0.628829492,0.499081216,6.20E-04,0.19737037,0.114835609
100836,0.55783,0,0,0,0,0.010038601,0.408550399
100852,0,0.176500672,0.061284328,0.178473336,0.628442274,0.098946726,0
100859,0.040909,0.13353424,0.82555676,0.816532673,0,0,0
100861,0.010418797,0,0.453732203,0,0.453304492,0.064778508,0
100867,0,0,0.143003,0,0.693999203,0.112776797,0
100887,0,0.280731726,0.149817274,0.330201806,0.087678784,0.461305216,0
100894,0.074433751,0,0.632896249,0.209744982,0.187448932,0.094971068,0
100938,0,0,0.238401,0.120882181,0.022655313,0.221732626,0.140298062
100951,0,0.133372065,0.801253935,0.741014486,0.02526071,0.04011329,0
100986,0.513016,0,0,0,0,0.024620753,0.450518247
101007,0,0.147038966,0.748568034,0.742200268,0.039376112,0.037789888,0
101061,0,0,0.254615,0,0.018165032,0.674893941,0.052326027
101074,0,0.715896315,0.189304685,0.793333545,0.019577514,0.064018486,0
101092,0,0,0.077985,0,0.291540099,0.578502901,0
101127,0.594521647,0,0.029351353,0,0,0,0.361844
